repeat.for.variable,research.question,sub.research.question,hypothesis,independent.variable,dependent.variable,hypothesis.type,independent.variable.type,dependent.variable.type
,,,,,country,direct_reporting,,categorical
,,,,,father_country,direct_reporting,,categorical
,,,,,mother_country,direct_reporting,,categorical
,,,,,nationality,direct_reporting,,categorical
,,,,,languages,direct_reporting,,categorical
,,,,,arrive_libya,direct_reporting,,categorical
,,,,,arrive_current_loc,direct_reporting,,categorical
,,,,,hh_size,direct_reporting,,numerical
,,,,,hoh,direct_reporting,,categorical
,,,,,respondent_age,direct_reporting,,numerical
,,,,,respondent_gender,direct_reporting,,categorical
,,,,,respondent_pregnant,direct_reporting,,categorical
,,,,,food_source,direct_reporting,,categorical
,,,,,agricultural_production,direct_reporting,,categorical
,,,,,shelter_type,direct_reporting,,categorical
,,,,,nb_rooms,direct_reporting,,numerical
,,,,,occupancy_status,direct_reporting,,categorical
,,,,,rental_cost,direct_reporting,,numerical
,,,,,change_rental,direct_reporting,,categorical
,,,,,hosted_free_by,direct_reporting,,categorical
,,,,,shelter_related_concerns,direct_reporting,,categorical
,,,,,shelter_condition,direct_reporting,,categorical
,,,,,live_with_who,direct_reporting,,categorical
,,,,,access_shelter_challenges,direct_reporting,,categorical
,,,,,eviction_threat,direct_reporting,,categorical
,,,,,eviction_shelter_reasons,direct_reporting,,categorical
,,,,,type_jobs,direct_reporting,,categorical
,,,,,type_institutions,direct_reporting,,categorical
,,,,,obtaining_cash_challenges,direct_reporting,,categorical
,,,,,obtaining_cash_challenge_reasons,direct_reporting,,categorical
,,,,,domestic_consumption_purchase_forwhom,direct_reporting,,categorical
,,,,,hh_total_debt,direct_reporting,,numerical
,,,,,debt_primary_reason,direct_reporting,,categorical
,,,,,send_money_family,direct_reporting,,numerical
,,,,,save_money,direct_reporting,,numerical
,,,,,payment_modality,direct_reporting,,categorical
,,,,,access_marketplace,direct_reporting,,categorical
,,,,,means_transportation,direct_reporting,,categorical
,,,,,travel_to_market,direct_reporting,,categorical
,,,,,barriers_access_market,direct_reporting,,categorical
,,,,,barriers_purchasing_items,direct_reporting,,categorical
,,,,,expensive_items_to_afford,direct_reporting,,categorical
,,,,,unabailable_items_marketplace,direct_reporting,,categorical
,,,,,financial_service_providers,direct_reporting,,categorical
,,,,,way_storing_cash,direct_reporting,,categorical
,,,,,way_sending_money,direct_reporting,,categorical
,,,,,sending_money_charges,direct_reporting,,numerical
,,,,,using_cash_coping_mechanism_reasons,direct_reporting,,categorical
,,,,,primary_drinkingwater_source,direct_reporting,,categorical
,,,,,distance_drinkingwater,direct_reporting,,categorical
,,,,,unsufficient_quantity_water,direct_reporting,,categorical
,,,,,drinkingwater_quality,direct_reporting,,categorical
,,,,,water_treatment,direct_reporting,,categorical
,,,,,access_public_water_network,direct_reporting,,categorical
,,,,,toilet_type,direct_reporting,,categorical
,,,,,distance_toilet,direct_reporting,,categorical
,,,,,trash_disposal,direct_reporting,,categorical
,,,,,distance_trash,direct_reporting,,categorical
,,,,,trash_collection_frequency,direct_reporting,,categorical
,,,,,access_essential_hygiene_items,direct_reporting,,categorical
,,,,,noaccess_essential_hygiene_items_reasons,direct_reporting,,categorical
,,,,,been_ill_15days,direct_reporting,,categorical
,,,,,visited_healthcare,direct_reporting,,categorical
,,,,,access_healthcare_challenges,direct_reporting,,categorical
,,,,,access_healthcare_challenges_reasons,direct_reporting,,categorical
,,,,,nomoney_healthcare_coping,direct_reporting,,categorical
,,,,,means_transportation_healthcare,direct_reporting,,categorical
,,,,,travel_to_healthcare_provider,direct_reporting,,categorical
,,,,,gave_birth_2years,direct_reporting,,categorical
,,,,,pregnancy_assistedby,direct_reporting,,categorical
